[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:17] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
